,season,Player,Pos,Age,team,PTS,AST,BLK,TOV,STL,ORB,DRB,MP,G,GS,PF,FTA,FGA,3PA,3P,FG,FT,PER,WS,ppg,ast_pg,blk_pg,tov_pg,stl_pg,reb_pg,min_pg,FG%,FT%,3P%,salary
2393,2010-2011,Kyrylo Fesenko,C,24.0,UTA,106.0,18.0,16.0,25.0,4.0,34.0,74.0,456.0,53.0,1.0,90.0,46.0,100.0,1.0,0.0,44.0,18.0,5.8,-0.1,2.0,0.33962264150943394,0.3018867924528302,0.4716981132075472,0.07547169811320754,2.0377358490566038,8.60377358490566,0.44,0.391304347826087,0.0,1.0875
2394,2010-2011,Kevin Durant,SF,22.0,OKC,2161.0,214.0,76.0,218.0,88.0,57.0,476.0,3038.0,78.0,78.0,159.0,675.0,1538.0,414.0,145.0,711.0,594.0,23.6,12.0,27.705128205128204,2.7435897435897436,0.9743589743589743,2.7948717948717947,1.1282051282051282,6.833333333333333,38.94871794871795,0.46228868660598177,0.88,0.3502415458937198,6.053663
2395,2010-2011,Rudy Fernandez,SG,25.0,POR,668.0,193.0,14.0,88.0,87.0,37.0,135.0,1821.0,78.0,3.0,134.0,146.0,575.0,361.0,116.0,213.0,126.0,13.4,3.8,8.564102564102564,2.4743589743589745,0.1794871794871795,1.1282051282051282,1.1153846153846154,2.2051282051282053,23.346153846153847,0.37043478260869567,0.863013698630137,0.32132963988919666,1.24668
2396,2010-2011,Jordan Farmar,PG,24.0,NJN,701.0,368.0,6.0,139.0,62.0,24.0,149.0,1796.0,73.0,18.0,128.0,100.0,651.0,304.0,109.0,255.0,82.0,14.1,1.9,9.602739726027398,5.041095890410959,0.0821917808219178,1.904109589041096,0.8493150684931506,2.3698630136986303,24.602739726027398,0.391705069124424,0.82,0.35855263157894735,3.75
2397,2010-2011,Christian Eyenga,SF,21.0,CLE,303.0,35.0,28.0,47.0,34.0,27.0,96.0,947.0,44.0,18.0,78.0,28.0,306.0,91.0,25.0,130.0,18.0,9.0,-0.3,6.886363636363637,0.7954545454545454,0.6363636363636364,1.0681818181818181,0.7727272727272727,2.7954545454545454,21.522727272727273,0.42483660130718953,0.6428571428571429,0.27472527472527475,1.02096
2398,2010-2011,Tyreke Evans,SG,21.0,SAC,1012.0,319.0,30.0,184.0,85.0,46.0,229.0,2107.0,57.0,53.0,143.0,266.0,933.0,148.0,43.0,382.0,205.0,14.4,1.6,17.75438596491228,5.5964912280701755,0.5263157894736842,3.2280701754385963,1.4912280701754386,4.824561403508772,36.96491228070175,0.40943193997856375,0.7706766917293233,0.2905405405405405,3.88092
2399,2010-2011,Reggie Evans,PF,30.0,TOR,132.0,38.0,6.0,39.0,29.0,119.0,226.0,798.0,30.0,18.0,89.0,88.0,103.0,1.0,0.0,42.0,48.0,12.4,1.3,4.4,1.2666666666666666,0.2,1.3,0.9666666666666667,11.5,26.6,0.4077669902912621,0.5454545454545454,0.0,5.08
2400,2010-2011,Daniel Gibson,SG,24.0,CLE,780.0,201.0,21.0,80.0,48.0,24.0,153.0,1865.0,67.0,15.0,154.0,163.0,660.0,293.0,118.0,264.0,134.0,13.2,2.4,11.64179104477612,3.0,0.31343283582089554,1.1940298507462686,0.7164179104477612,2.6417910447761193,27.83582089552239,0.4,0.8220858895705522,0.40273037542662116,4.015334
2401,2010-2011,Jeremy Evans,SF,23.0,UTA,178.0,24.0,17.0,19.0,17.0,36.0,61.0,463.0,49.0,3.0,50.0,37.0,115.0,1.0,0.0,76.0,26.0,18.8,1.6,3.63265306122449,0.4897959183673469,0.3469387755102041,0.3877551020408163,0.3469387755102041,1.9795918367346939,9.448979591836734,0.6608695652173913,0.7027027027027027,0.0,0.473604
2402,2010-2011,Tim Duncan,C,34.0,SAS,1022.0,203.0,146.0,122.0,50.0,169.0,509.0,2156.0,76.0,76.0,119.0,257.0,838.0,4.0,0.0,419.0,184.0,21.9,7.7,13.447368421052632,2.6710526315789473,1.9210526315789473,1.605263157894737,0.6578947368421053,8.921052631578947,28.36842105263158,0.5,0.7159533073929961,0.0,18.835381
2403,2010-2011,Monta Ellis,SG,25.0,GSW,1929.0,450.0,23.0,252.0,168.0,44.0,237.0,3227.0,80.0,80.0,203.0,431.0,1611.0,379.0,137.0,726.0,340.0,18.6,6.0,24.1125,5.625,0.2875,3.15,2.1,3.5125,40.3375,0.4506517690875233,0.7888631090487239,0.36147757255936674,11.0
2404,2010-2011,Wayne Ellington,SG,23.0,MIN,410.0,72.0,3.0,53.0,28.0,26.0,82.0,1181.0,62.0,8.0,85.0,53.0,397.0,121.0,48.0,160.0,42.0,8.6,0.3,6.612903225806452,1.1612903225806452,0.04838709677419355,0.8548387096774194,0.45161290322580644,1.7419354838709677,19.048387096774192,0.40302267002518893,0.7924528301886793,0.39669421487603307,1.0788
2405,2010-2011,Mike Dunleavy,SG,30.0,IND,682.0,105.0,30.0,69.0,40.0,28.0,248.0,1683.0,61.0,44.0,107.0,125.0,520.0,254.0,102.0,240.0,100.0,14.6,4.5,11.180327868852459,1.721311475409836,0.4918032786885246,1.1311475409836065,0.6557377049180327,4.524590163934426,27.59016393442623,0.46153846153846156,0.8,0.4015748031496063,10.561984
2406,2010-2011,Landry Fields,SG,22.0,NYK,797.0,155.0,17.0,107.0,80.0,105.0,416.0,2541.0,82.0,81.0,114.0,147.0,602.0,219.0,86.0,299.0,113.0,13.5,5.3,9.71951219512195,1.8902439024390243,0.2073170731707317,1.3048780487804879,0.975609756097561,6.353658536585366,30.98780487804878,0.49667774086378735,0.7687074829931972,0.3926940639269406,0.473604
2407,2010-2011,Derek Fisher,PG,36.0,LAL,558.0,224.0,8.0,70.0,99.0,14.0,138.0,2297.0,82.0,82.0,192.0,103.0,529.0,159.0,63.0,206.0,83.0,8.9,3.7,6.804878048780488,2.731707317073171,0.0975609756097561,0.8536585365853658,1.2073170731707317,1.853658536585366,28.01219512195122,0.389413988657845,0.8058252427184466,0.39622641509433965,3.7
2408,2010-2011,Gary Forbes,SF,25.0,DEN,326.0,49.0,6.0,46.0,23.0,28.0,88.0,791.0,63.0,11.0,77.0,87.0,273.0,58.0,19.0,124.0,59.0,11.7,0.9,5.174603174603175,0.7777777777777778,0.09523809523809523,0.7301587301587301,0.36507936507936506,1.8412698412698412,12.555555555555555,0.4542124542124542,0.6781609195402298,0.3275862068965517,0.473604
2409,2010-2011,Jonny Flynn,PG,21.0,MIN,279.0,182.0,3.0,113.0,34.0,12.0,65.0,983.0,53.0,8.0,58.0,42.0,296.0,100.0,31.0,108.0,32.0,7.1,-1.3,5.264150943396227,3.4339622641509435,0.05660377358490566,2.1320754716981134,0.6415094339622641,1.4528301886792452,18.547169811320753,0.36486486486486486,0.7619047619047619,0.31,3.192
2410,2010-2011,Francisco Garcia,SF,29.0,SAC,560.0,71.0,49.0,45.0,51.0,24.0,109.0,1386.0,58.0,34.0,126.0,76.0,475.0,224.0,81.0,207.0,65.0,13.5,3.0,9.655172413793103,1.2241379310344827,0.8448275862068966,0.7758620689655172,0.8793103448275862,2.293103448275862,23.896551724137932,0.4357894736842105,0.8552631578947368,0.36160714285714285,5.5
2411,2010-2011,Channing Frye,PF,27.0,PHO,976.0,96.0,79.0,73.0,46.0,65.0,448.0,2541.0,77.0,64.0,272.0,107.0,829.0,439.0,171.0,358.0,89.0,12.8,4.7,12.675324675324676,1.2467532467532467,1.025974025974026,0.948051948051948,0.5974025974025974,6.662337662337662,33.0,0.43184559710494574,0.8317757009345794,0.3895216400911162,5.2
2412,2010-2011,Randy Foye,SG,27.0,LAC,616.0,170.0,21.0,95.0,47.0,13.0,90.0,1551.0,63.0,24.0,122.0,149.0,531.0,217.0,71.0,206.0,133.0,11.4,1.7,9.777777777777779,2.6984126984126986,0.3333333333333333,1.507936507936508,0.746031746031746,1.6349206349206349,24.61904761904762,0.3879472693032015,0.8926174496644296,0.3271889400921659,4.25
2413,2010-2011,Pau Gasol,C,30.0,LAL,1541.0,273.0,130.0,142.0,48.0,268.0,568.0,3037.0,82.0,82.0,203.0,430.0,1120.0,3.0,1.0,593.0,354.0,23.3,14.7,18.79268292682927,3.3292682926829267,1.5853658536585367,1.7317073170731707,0.5853658536585366,10.195121951219512,37.03658536585366,0.5294642857142857,0.8232558139534883,0.3333333333333333,17.823
2414,2010-2011,Marc Gasol,C,26.0,MEM,951.0,200.0,136.0,146.0,74.0,154.0,415.0,2586.0,81.0,81.0,265.0,294.0,691.0,7.0,3.0,364.0,220.0,16.8,7.9,11.74074074074074,2.4691358024691357,1.6790123456790123,1.8024691358024691,0.9135802469135802,7.0246913580246915,31.925925925925927,0.5267727930535456,0.7482993197278912,0.42857142857142855,3.573333
2415,2010-2011,T.J. Ford,PG,27.0,IND,223.0,141.0,8.0,63.0,35.0,17.0,64.0,773.0,41.0,3.0,69.0,48.0,236.0,32.0,6.0,91.0,35.0,9.9,0.2,5.439024390243903,3.4390243902439024,0.1951219512195122,1.5365853658536586,0.8536585365853658,1.975609756097561,18.853658536585368,0.3855932203389831,0.7291666666666666,0.1875,8.5
2416,2010-2011,Rudy Gay,SF,24.0,MEM,1069.0,153.0,58.0,135.0,91.0,82.0,254.0,2152.0,54.0,54.0,131.0,241.0,869.0,144.0,57.0,409.0,194.0,17.8,5.5,19.796296296296298,2.8333333333333335,1.0740740740740742,2.5,1.6851851851851851,6.222222222222222,39.851851851851855,0.4706559263521289,0.8049792531120332,0.3958333333333333,13.60375
2417,2010-2011,Jeff Foster,C,34.0,IND,187.0,46.0,31.0,26.0,24.0,160.0,190.0,940.0,56.0,3.0,127.0,48.0,167.0,3.0,0.0,80.0,27.0,14.3,3.0,3.3392857142857144,0.8214285714285714,0.5535714285714286,0.4642857142857143,0.42857142857142855,6.25,16.785714285714285,0.47904191616766467,0.5625,0.0,6.655
2418,2010-2011,Kevin Garnett,PF,34.0,BOS,1056.0,171.0,57.0,115.0,95.0,83.0,548.0,2220.0,71.0,71.0,148.0,217.0,822.0,5.0,1.0,434.0,187.0,20.6,9.0,14.873239436619718,2.408450704225352,0.8028169014084507,1.619718309859155,1.3380281690140845,8.887323943661972,31.267605633802816,0.5279805352798054,0.8617511520737328,0.2,18.832044
2419,2011-2012,Chris Wright,SF,23.0,GSW,70.0,4.0,13.0,8.0,7.0,19.0,26.0,186.0,24.0,1.0,22.0,31.0,45.0,0.0,0.0,23.0,24.0,18.6,0.6,2.9166666666666665,0.16666666666666666,0.5416666666666666,0.3333333333333333,0.2916666666666667,1.875,7.75,0.5111111111111111,0.7741935483870968,,0.473604
2420,2011-2012,Brandan Wright,C,24.0,DAL,340.0,13.0,63.0,21.0,22.0,62.0,112.0,791.0,49.0,0.0,61.0,82.0,233.0,1.0,0.0,144.0,52.0,21.6,3.5,6.938775510204081,0.2653061224489796,1.2857142857142858,0.42857142857142855,0.4489795918367347,3.5510204081632653,16.142857142857142,0.6180257510729614,0.6341463414634146,0.0,0.915852
2421,2011-2012,Arron Afflalo,SG,26.0,DEN,943.0,149.0,13.0,85.0,36.0,40.0,157.0,2086.0,62.0,62.0,134.0,247.0,699.0,221.0,88.0,329.0,197.0,14.7,5.3,15.209677419354838,2.403225806451613,0.20967741935483872,1.3709677419354838,0.5806451612903226,3.1774193548387095,33.645161290322584,0.47067238912732473,0.7975708502024291,0.39819004524886875,7.75
2422,2011-2012,Blake Ahearn,PG,27.0,UTA,10.0,1.0,0.0,5.0,0.0,0.0,2.0,30.0,4.0,0.0,4.0,0.0,14.0,9.0,2.0,4.0,0.0,-7.3,-0.2,2.5,0.25,0.0,1.25,0.0,0.5,7.5,0.2857142857142857,,0.2222222222222222,0.117134
2423,2011-2012,Shawne Williams,SF,25.0,NJN,113.0,16.0,11.0,13.0,10.0,20.0,48.0,514.0,25.0,6.0,44.0,11.0,147.0,87.0,21.0,42.0,8.0,4.9,-0.4,4.52,0.64,0.44,0.52,0.4,2.72,20.56,0.2857142857142857,0.7272727272727273,0.2413793103448276,3.135
2424,2011-2012,LaMarcus Aldridge,PF,26.0,POR,1191.0,134.0,45.0,111.0,51.0,150.0,292.0,1994.0,55.0,55.0,153.0,274.0,943.0,11.0,2.0,483.0,223.0,22.7,7.0,21.654545454545456,2.4363636363636365,0.8181818181818182,2.018181818181818,0.9272727272727272,8.036363636363637,36.25454545454546,0.5121951219512195,0.8138686131386861,0.18181818181818182,14.0
2425,2011-2012,Cole Aldrich,C,23.0,OKC,57.0,3.0,16.0,9.0,8.0,13.0,35.0,173.0,26.0,0.0,22.0,14.0,42.0,0.0,0.0,22.0,13.0,17.7,0.6,2.1923076923076925,0.11538461538461539,0.6153846153846154,0.34615384615384615,0.3076923076923077,1.8461538461538463,6.653846153846154,0.5238095238095238,0.9285714285714286,,2.286
2426,2011-2012,Lavoy Allen,PF,22.0,PHI,169.0,34.0,18.0,20.0,13.0,47.0,124.0,624.0,41.0,15.0,73.0,14.0,167.0,0.0,0.0,79.0,11.0,12.7,1.6,4.121951219512195,0.8292682926829268,0.43902439024390244,0.4878048780487805,0.3170731707317073,4.170731707317073,15.21951219512195,0.47305389221556887,0.7857142857142857,,0.473604
2427,2011-2012,Ray Allen,SG,36.0,BOS,655.0,109.0,8.0,68.0,49.0,14.0,128.0,1565.0,46.0,42.0,83.0,106.0,493.0,234.0,106.0,226.0,97.0,14.8,4.7,14.23913043478261,2.369565217391304,0.17391304347826086,1.4782608695652173,1.065217391304348,3.0869565217391304,34.02173913043478,0.45841784989858014,0.9150943396226415,0.452991452991453,10.0
2428,2011-2012,Tony Allen,SG,30.0,MEM,568.0,79.0,33.0,94.0,104.0,98.0,135.0,1525.0,58.0,57.0,142.0,175.0,448.0,26.0,8.0,210.0,140.0,15.7,4.2,9.793103448275861,1.3620689655172413,0.5689655172413793,1.6206896551724137,1.793103448275862,4.017241379310345,26.29310344827586,0.46875,0.8,0.3076923076923077,3.15
2429,2011-2012,Dorell Wright,SF,26.0,GSW,629.0,94.0,26.0,51.0,58.0,60.0,218.0,1650.0,61.0,61.0,97.0,98.0,526.0,292.0,105.0,222.0,80.0,15.0,3.4,10.311475409836065,1.540983606557377,0.4262295081967213,0.8360655737704918,0.9508196721311475,4.557377049180328,27.049180327868854,0.4220532319391635,0.8163265306122449,0.3595890410958904,3.823
2430,2011-2012,Thaddeus Young,PF,23.0,PHI,808.0,74.0,41.0,55.0,64.0,137.0,188.0,1755.0,63.0,1.0,127.0,144.0,687.0,4.0,1.0,348.0,111.0,18.9,6.3,12.825396825396826,1.1746031746031746,0.6507936507936508,0.873015873015873,1.0158730158730158,5.158730158730159,27.857142857142858,0.5065502183406113,0.7708333333333334,0.25,8.03913
2431,2011-2012,Morris Almond,SG,26.0,WAS,14.0,2.0,0.0,1.0,7.0,1.0,7.0,67.0,4.0,0.0,6.0,3.0,17.0,3.0,1.0,6.0,1.0,8.7,0.0,3.5,0.5,0.0,0.25,1.75,2.0,16.75,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.075793
2432,2011-2012,Alan Anderson,SF,29.0,TOR,163.0,26.0,3.0,25.0,5.0,8.0,26.0,461.0,17.0,12.0,35.0,34.0,142.0,61.0,24.0,55.0,29.0,8.7,0.3,9.588235294117647,1.5294117647058822,0.17647058823529413,1.4705882352941178,0.29411764705882354,2.0,27.11764705882353,0.3873239436619718,0.8529411764705882,0.39344262295081966,0.213597
2433,2011-2012,Lou Amundson,PF,29.0,IND,213.0,14.0,44.0,45.0,27.0,94.0,128.0,753.0,60.0,0.0,125.0,82.0,207.0,0.0,0.0,89.0,35.0,11.5,1.0,3.55,0.23333333333333334,0.7333333333333333,0.75,0.45,3.7,12.55,0.42995169082125606,0.4268292682926829,,2.76345
2434,2011-2012,Chris Andersen,C,33.0,DEN,168.0,6.0,46.0,17.0,19.0,48.0,100.0,486.0,32.0,1.0,52.0,82.0,108.0,0.0,0.0,59.0,50.0,18.9,1.9,5.25,0.1875,1.4375,0.53125,0.59375,4.625,15.1875,0.5462962962962963,0.6097560975609756,,4.234
2435,2011-2012,Solomon Alabi,C,23.0,TOR,33.0,3.0,9.0,5.0,2.0,15.0,32.0,122.0,14.0,0.0,11.0,8.0,36.0,0.0,0.0,13.0,7.0,14.2,0.2,2.357142857142857,0.21428571428571427,0.6428571428571429,0.35714285714285715,0.14285714285714285,3.357142857142857,8.714285714285714,0.3611111111111111,0.875,,0.83
2436,2011-2012,Al-Farouq Aminu,SF,21.0,NOH,399.0,66.0,34.0,91.0,59.0,95.0,213.0,1477.0,66.0,21.0,136.0,114.0,365.0,47.0,13.0,150.0,86.0,10.6,1.4,6.045454545454546,1.0,0.5151515151515151,1.378787878787879,0.8939393939393939,4.666666666666667,22.37878787878788,0.410958904109589,0.7543859649122807,0.2765957446808511,2.75556
2437,2011-2012,Ryan Anderson,PF,23.0,ORL,980.0,54.0,26.0,57.0,50.0,224.0,247.0,1964.0,61.0,61.0,146.0,171.0,757.0,422.0,166.0,332.0,150.0,21.2,8.9,16.065573770491802,0.8852459016393442,0.4262295081967213,0.9344262295081968,0.819672131147541,7.721311475409836,32.19672131147541,0.4385733157199472,0.8771929824561403,0.3933649289099526,2.244601
2438,2011-2012,James Anderson,SG,22.0,SAS,190.0,41.0,2.0,30.0,8.0,16.0,63.0,603.0,51.0,2.0,35.0,52.0,174.0,68.0,19.0,66.0,39.0,8.8,0.5,3.7254901960784315,0.803921568627451,0.0392156862745098,0.5882352941176471,0.1568627450980392,1.5490196078431373,11.823529411764707,0.3793103448275862,0.75,0.27941176470588236,1.40254
2439,2011-2012,Mo Williams,SG,29.0,LAC,685.0,160.0,7.0,86.0,51.0,23.0,76.0,1472.0,52.0,1.0,103.0,80.0,611.0,239.0,93.0,260.0,72.0,15.0,2.8,13.173076923076923,3.076923076923077,0.1346153846153846,1.6538461538461537,0.9807692307692307,1.9038461538461537,28.307692307692307,0.425531914893617,0.9,0.3891213389121339,8.5
2440,2011-2012,Carmelo Anthony,SF,27.0,NYK,1245.0,200.0,24.0,144.0,62.0,88.0,256.0,1876.0,55.0,55.0,156.0,367.0,1025.0,203.0,68.0,441.0,295.0,21.1,6.2,22.636363636363637,3.6363636363636362,0.43636363636363634,2.618181818181818,1.1272727272727272,6.254545454545455,34.10909090909091,0.4302439024390244,0.8038147138964578,0.33497536945812806,18.518574
2441,2011-2012,Lou Williams,PG,25.0,PHI,956.0,221.0,18.0,71.0,53.0,30.0,125.0,1682.0,64.0,0.0,90.0,292.0,782.0,229.0,83.0,318.0,237.0,20.2,6.1,14.9375,3.453125,0.28125,1.109375,0.828125,2.421875,26.28125,0.40664961636828645,0.8116438356164384,0.3624454148471616,5.176
2442,2011-2012,Jamario Moon,SF,31.0,CHA,18.0,5.0,5.0,8.0,1.0,2.0,20.0,123.0,8.0,0.0,5.0,2.0,24.0,10.0,2.0,7.0,2.0,3.4,-0.3,2.25,0.625,0.625,1.0,0.125,2.75,15.375,0.2916666666666667,1.0,0.2,0.096017
2443,2011-2012,Greg Monroe,C,21.0,DET,1015.0,152.0,46.0,161.0,83.0,239.0,398.0,2082.0,66.0,66.0,180.0,272.0,781.0,1.0,0.0,407.0,201.0,22.0,7.0,15.378787878787879,2.303030303030303,0.696969696969697,2.4393939393939394,1.2575757575757576,9.651515151515152,31.545454545454547,0.5211267605633803,0.7389705882352942,0.0,3.00792
2444,2011-2012,Nazr Mohammed,C,34.0,OKC,171.0,14.0,37.0,26.0,20.0,59.0,111.0,692.0,63.0,1.0,101.0,23.0,169.0,1.0,0.0,79.0,13.0,11.0,1.3,2.7142857142857144,0.2222222222222222,0.5873015873015873,0.4126984126984127,0.31746031746031744,2.6984126984126986,10.984126984126984,0.46745562130177515,0.5652173913043478,0.0,3.75
2445,2011-2012,Paul Millsap,PF,26.0,UTA,1061.0,150.0,52.0,112.0,118.0,180.0,383.0,2100.0,64.0,62.0,222.0,255.0,861.0,31.0,7.0,426.0,202.0,21.8,7.8,16.578125,2.34375,0.8125,1.75,1.84375,8.796875,32.8125,0.49477351916376305,0.792156862745098,0.22580645161290322,8.603633
2446,2011-2012,Patty Mills,PG,23.0,SAS,165.0,39.0,1.0,26.0,10.0,4.0,24.0,261.0,16.0,3.0,14.0,15.0,130.0,56.0,24.0,63.0,15.0,21.5,0.9,10.3125,2.4375,0.0625,1.625,0.625,1.75,16.3125,0.4846153846153846,1.0,0.42857142857142855,0.213517
2447,2011-2012,Mike Miller,SG,31.0,MIA,237.0,42.0,6.0,30.0,14.0,22.0,106.0,752.0,39.0,2.0,58.0,5.0,209.0,117.0,53.0,91.0,2.0,11.4,1.8,6.076923076923077,1.0769230769230769,0.15384615384615385,0.7692307692307693,0.358974358974359,3.282051282051282,19.28205128205128,0.4354066985645933,0.4,0.452991452991453,5.4
2448,2011-2012,Brad Miller,C,35.0,MIN,35.0,24.0,2.0,12.0,4.0,4.0,15.0,146.0,15.0,1.0,10.0,12.0,27.0,15.0,7.0,9.0,10.0,10.7,0.2,2.3333333333333335,1.6,0.13333333333333333,0.8,0.26666666666666666,1.2666666666666666,9.733333333333333,0.3333333333333333,0.8333333333333334,0.4666666666666667,4.752
2449,2011-2012,Andre Miller,SG,35.0,DEN,639.0,441.0,9.0,177.0,63.0,53.0,168.0,1809.0,66.0,7.0,133.0,169.0,552.0,83.0,18.0,242.0,137.0,14.8,2.9,9.681818181818182,6.681818181818182,0.13636363636363635,2.6818181818181817,0.9545454545454546,3.3484848484848486,27.40909090909091,0.4384057971014493,0.8106508875739645,0.21686746987951808,7.807728
2450,2011-2012,Darko Milicic,C,26.0,MIN,134.0,17.0,25.0,32.0,9.0,35.0,62.0,472.0,29.0,23.0,59.0,37.0,130.0,0.0,0.0,59.0,16.0,9.0,0.0,4.620689655172414,0.5862068965517241,0.8620689655172413,1.103448275862069,0.3103448275862069,3.3448275862068964,16.275862068965516,0.45384615384615384,0.43243243243243246,,4.7765
2451,2011-2012,Josh McRoberts,PF,24.0,LAL,138.0,51.0,18.0,31.0,15.0,61.0,110.0,718.0,50.0,6.0,74.0,36.0,118.0,7.0,3.0,56.0,23.0,10.9,1.4,2.76,1.02,0.36,0.62,0.3,3.42,14.36,0.4745762711864407,0.6388888888888888,0.42857142857142855,3.0
2452,2011-2012,O.J. Mayo,SG,24.0,MEM,833.0,169.0,23.0,124.0,71.0,30.0,180.0,1771.0,66.0,0.0,137.0,172.0,736.0,275.0,100.0,300.0,133.0,14.7,3.5,12.621212121212121,2.5606060606060606,0.3484848484848485,1.878787878787879,1.0757575757575757,3.1818181818181817,26.833333333333332,0.4076086956521739,0.7732558139534884,0.36363636363636365,5.632637
2453,2011-2012,Eric Maynor,PG,24.0,OKC,38.0,22.0,0.0,11.0,5.0,3.0,10.0,137.0,9.0,0.0,13.0,4.0,39.0,17.0,6.0,14.0,4.0,9.1,0.1,4.222222222222222,2.4444444444444446,0.0,1.2222222222222223,0.5555555555555556,1.4444444444444444,15.222222222222221,0.358974358974359,1.0,0.35294117647058826,1.51668
2454,2011-2012,Jason Maxiell,PF,28.0,DET,424.0,41.0,50.0,71.0,32.0,126.0,207.0,1466.0,65.0,42.0,151.0,106.0,383.0,2.0,0.0,183.0,58.0,11.7,1.7,6.523076923076923,0.6307692307692307,0.7692307692307693,1.0923076923076922,0.49230769230769234,5.123076923076923,22.553846153846155,0.47780678851174935,0.5471698113207547,0.0,5.0
2455,2011-2012,Wesley Matthews,SG,25.0,POR,904.0,113.0,15.0,73.0,96.0,56.0,168.0,2228.0,66.0,53.0,148.0,171.0,763.0,337.0,129.0,314.0,147.0,14.1,4.8,13.696969696969697,1.7121212121212122,0.22727272727272727,1.106060606060606,1.4545454545454546,3.393939393939394,33.75757575757576,0.41153342070773263,0.8596491228070176,0.3827893175074184,6.50532
2456,2011-2012,Mikki Moore,C,36.0,GSW,24.0,5.0,3.0,7.0,3.0,7.0,15.0,118.0,7.0,0.0,24.0,7.0,20.0,0.0,0.0,9.0,6.0,6.3,0.1,3.4285714285714284,0.7142857142857143,0.42857142857142855,1.0,0.42857142857142855,3.142857142857143,16.857142857142858,0.45,0.8571428571428571,,0.075793
2457,2011-2012,Kevin Martin,SG,28.0,HOU,682.0,110.0,3.0,70.0,28.0,13.0,93.0,1264.0,40.0,40.0,70.0,179.0,537.0,225.0,78.0,222.0,160.0,16.5,3.3,17.05,2.75,0.075,1.75,0.7,2.65,31.6,0.4134078212290503,0.8938547486033519,0.3466666666666667,11.51984
2458,2011-2012,Markieff Morris,PF,22.0,PHO,467.0,65.0,42.0,70.0,41.0,69.0,210.0,1227.0,63.0,7.0,179.0,106.0,436.0,124.0,43.0,174.0,76.0,12.1,1.5,7.412698412698413,1.0317460317460319,0.6666666666666666,1.1111111111111112,0.6507936507936508,4.428571428571429,19.476190476190474,0.39908256880733944,0.7169811320754716,0.3467741935483871,2.00556
2459,2011-2012,Zaza Pachulia,C,27.0,ATL,455.0,79.0,29.0,81.0,55.0,154.0,303.0,1640.0,58.0,44.0,172.0,158.0,339.0,0.0,0.0,169.0,117.0,14.0,5.0,7.844827586206897,1.3620689655172413,0.5,1.396551724137931,0.9482758620689655,7.879310344827586,28.275862068965516,0.49852507374631266,0.740506329113924,,4.75
2460,2011-2012,Larry Owens,SF,29.0,NJN,13.0,4.0,1.0,2.0,0.0,2.0,11.0,75.0,7.0,0.0,10.0,4.0,11.0,5.0,2.0,4.0,3.0,5.8,0.1,1.8571428571428572,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,1.8571428571428572,10.714285714285714,0.36363636363636365,0.75,0.4,0.022287
2461,2011-2012,Travis Outlaw,SF,27.0,SAC,167.0,16.0,21.0,20.0,19.0,19.0,42.0,500.0,39.0,5.0,34.0,46.0,175.0,60.0,16.0,60.0,31.0,9.6,-0.1,4.282051282051282,0.41025641025641024,0.5384615384615384,0.5128205128205128,0.48717948717948717,1.564102564102564,12.820512820512821,0.34285714285714286,0.6739130434782609,0.26666666666666666,3.0
2462,2011-2012,Daniel Orton,PF,21.0,ORL,45.0,5.0,9.0,7.0,8.0,19.0,20.0,187.0,16.0,2.0,30.0,25.0,30.0,1.0,0.0,17.0,11.0,12.7,0.5,2.8125,0.3125,0.5625,0.4375,0.5,2.4375,11.6875,0.5666666666666667,0.44,0.0,1.10556
2463,2011-2012,Mehmet Okur,C,32.0,NJN,130.0,30.0,5.0,25.0,9.0,22.0,59.0,454.0,17.0,14.0,45.0,5.0,139.0,72.0,23.0,52.0,3.0,8.4,0.0,7.647058823529412,1.7647058823529411,0.29411764705882354,1.4705882352941178,0.5294117647058824,4.764705882352941,26.705882352941178,0.37410071942446044,0.6,0.3194444444444444,10.89
2464,2011-2012,Emeka Okafor,C,29.0,NOH,266.0,24.0,26.0,37.0,16.0,70.0,143.0,781.0,27.0,27.0,73.0,74.0,214.0,0.0,0.0,114.0,38.0,15.1,1.7,9.851851851851851,0.8888888888888888,0.9629629629629629,1.3703703703703705,0.5925925925925926,7.888888888888889,28.925925925925927,0.5327102803738317,0.5135135135135135,,12.6425
2465,2011-2012,Lamar Odom,SF,32.0,DAL,332.0,83.0,18.0,52.0,20.0,36.0,172.0,1027.0,50.0,4.0,97.0,98.0,349.0,111.0,28.0,123.0,58.0,9.2,0.3,6.64,1.66,0.36,1.04,0.4,4.16,20.54,0.3524355300859599,0.5918367346938775,0.25225225225225223,8.9
2466,2011-2012,Jermaine O'Neal,C,33.0,BOS,125.0,10.0,43.0,21.0,8.0,37.0,98.0,570.0,25.0,24.0,80.0,31.0,120.0,0.0,0.0,52.0,21.0,9.4,1.1,5.0,0.4,1.72,0.84,0.32,5.4,22.8,0.43333333333333335,0.6774193548387096,,6.2262
