,team,salary,Player,position,season
1561,Sacramento Kings,2.86,Anthony Johnson, PG,2007-2008
1562,Philadelphia 76ers,2.804889,Andre Iguodala, SG,2007-2008
1563,Milwaukee Bucks,2.77776,Yi Jianlian, SF,2007-2008
1564,Miami Heat,2.7625,Alonzo Mourning, C,2007-2008
1565,Charlotte Bobcats,2.75,Primoz Brezec, C,2007-2008
1566,Milwaukee Bucks,2.715,Charlie Villanueva, PF,2007-2008
1567,San Antonio Spurs,2.7,Matt Bonner, C,2007-2008
1568,Golden State Warriors,2.636696,Andris Biedrins, C,2007-2008
1569,Minnesota Timberwolves,2.63184,Randy Foye, SG,2007-2008
1570,Seattle SuperSonics,2.601113,Robert Swift, C,2007-2008
1571,Minnesota Timberwolves,2.562426,Sebastian Telfair, PG,2007-2008
1572,Toronto Raptors,2.55,Juan Dixon, SG,2007-2008
1573,Minnesota Timberwolves,2.53572,Corey Brewer, F,2007-2008
1574,Toronto Raptors,2.522913,Kris Humphries, PF,2007-2008
1575,Los Angeles Lakers,2.5,Chris Mihm, C,2007-2008
1576,New Jersey Nets,2.5,Bostjan Nachbar, SF,2007-2008
1577,Portland Trail Blazers,2.48724,Channing Frye, F,2007-2008
1578,Minnesota Timberwolves,2.480885,Al Jefferson, C,2007-2008
1579,Washington Wizards,2.479339,Andray Blatche, C,2007-2008
1580,Toronto Raptors,2.471604,Jose Calderon, PG,2007-2008
1581,Orlando Magic,2.44,Keith Bogans, SG,2007-2008
1582,Houston Rockets,2.439333,Steve Francis, PG,2007-2008
1583,Minnesota Timberwolves,2.42,Mark Madsen, PF,2007-2008
1584,Memphis Grizzlies,2.41116,Rudy Gay, SF,2007-2008
1585,Charlotte Bobcats,2.376,Othella Harrington, PF,2007-2008
1586,Dallas Mavericks,2.369111,Devean George, SF,2007-2008
1587,Minnesota Timberwolves,2.358433,Kirk Snyder, SG,2007-2008
1588,Utah Jazz,2.35,Jarron Collins, C,2007-2008
1589,San Antonio Spurs,2.35,Jackie Butler, C,2007-2008
1590,Golden State Warriors,2.32308,Brandan Wright, F,2007-2008
1591,Utah Jazz,2.3,Jason Hart, PG,2007-2008
1592,Indiana Pacers,2.28636,Ike Diogu, PF,2007-2008
1593,Houston Rockets,2.2842,Bonzi Wells, SG,2007-2008
1594,Detroit Pistons,2.25,Lindsey Hunter, SG,2007-2008
1595,Atlanta Hawks,2.243543,Josh Smith, PF,2007-2008
1596,Golden State Warriors,2.2164,Patrick O'Bryant, C,2007-2008
1597,Orlando Magic,2.20896,D.J. Augustin, PG,2007-2008
1598,Los Angeles Lakers,2.172,Andrew Bynum, C,2007-2008
1599,New Jersey Nets,2.146,DeSagana Diop, C,2007-2008
1600,Chicago Bulls,2.1354,Joakim Noah, C,2007-2008
1601,Denver Nuggets,2.134067,JR Smith, SG,2007-2008
1602,Seattle SuperSonics,2.10552,Mouhamed Sene, C,2007-2008
1603,Miami Heat,2.040746,Dorell Wright, SF,2007-2008
1604,Sacramento Kings,2.0286,Spencer Hawes, PF,2007-2008
1605,Orlando Magic,2.00016,JJ Redick, SG,2007-2008
1606,Orlando Magic,1.961609,Jameer Nelson, G,2007-2008
1607,Houston Rockets,1.944,Vassilis Spanoulis, PG,2007-2008
1608,Charlotte Bobcats,1.944,Walter Herrmann Heinrich, PF,2007-2008
1609,Chicago Bulls,1.928598,Victor Khryapa, PF,2007-2008
1610,Atlanta Hawks,1.92708,Acie Law, PG,2007-2008
1611,New Orleans Hornets,1.9002,Hilton Armstrong, PF,2007-2008
1612,LA Clippers,1.89,Aaron Williams, C,2007-2008
1613,Seattle SuperSonics,1.88976,Delonte West, SG,2007-2008
1614,New Jersey Nets,1.88976,Nenad Krstic, C,2007-2008
1615,Toronto Raptors,1.868141,Carlos Delfino, SG,2007-2008
1616,Boston Celtics,1.868141,Tony Allen, SG,2007-2008
1617,Charlotte Bobcats,1.86216,Sean May, C,2007-2008
1618,Philadelphia 76ers,1.83072,Thaddeus Young, PF,2007-2008
1619,Phoenix Suns,1.83,Grant Hill, SF,2007-2008
1620,New Orleans Hornets,1.83,Jannero Pargo, PG,2007-2008
1621,Dallas Mavericks,1.83,Eddie Jones, SG,2007-2008
1622,Sacramento Kings,1.808121,Kevin Martin, SG,2007-2008
1623,Chicago Bulls,1.80516,Thabo Sefolosha, SF,2007-2008
1624,Golden State Warriors,1.8,Kosta Perovic, C,2007-2008
1625,Minnesota Timberwolves,1.76916,Rashad McCants, SG,2007-2008
1626,Los Angeles Lakers,1.756951,Sasha Vujacic, SG,2007-2008
1627,New Jersey Nets,1.75,David Wesley, SG,2007-2008
1628,Houston Rockets,1.75,Chuck Hayes, PF,2007-2008
1629,Orlando Magic,1.74,Maurice Evans, SG,2007-2008
1630,New Orleans Hornets,1.73916,Julian Wright, SF,2007-2008
1631,Indiana Pacers,1.734316,David Harrison, C,2007-2008
1632,Utah Jazz,1.71504,Ronnie Brewer, SF,2007-2008
1633,New Jersey Nets,1.6806,Antoine Wright, SF,2007-2008
1634,LA Clippers,1.65228,Al Thornton, SF,2007-2008
1635,Cleveland Cavaliers,1.62912,Cedric Simmons, SF,2007-2008
1636,LA Clippers,1.6,Brevin Knight, PG,2007-2008
1637,Brooklyn Nets,1.6,Clifford Robinson, PF,2007-2008
1638,Toronto Raptors,1.5966,Joey Graham, SF,2007-2008
1639,Seattle SuperSonics,1.593,Adrian Griffin, SG,2007-2008
1640,Detroit Pistons,1.5696,Rodney Stuckey, PG,2007-2008
1641,Philadelphia 76ers,1.54776,Rodney Carney, SG,2007-2008
1642,Minnesota Timberwolves,1.529873,Justin Reed, SF,2007-2008
1643,Indiana Pacers,1.5168,Danny Granger, SF,2007-2008
1644,Indiana Pacers,1.5,Travis Diener, PG,2007-2008
1645,Boston Celtics,1.5,Eddie House, SG,2007-2008
1646,Washington Wizards,1.49124,Nick Young, G,2007-2008
1647,Indiana Pacers,1.47036,Shawne Williams, SF,2007-2008
1648,Minnesota Timberwolves,1.44096,Gerald Green, SG,2007-2008
1649,New Jersey Nets,1.4166,Sean Williams, PF,2007-2008
1650,Memphis Grizzlies,1.37604,Hakim Warrick, PF,2007-2008
1651,Golden State Warriors,1.3458,Marco Belinelli, G,2007-2008
1652,Washington Wizards,1.3458,Oleksiy Pecherov, C,2007-2008
1653,Sacramento Kings,1.33392,Quincy Douby, SG,2007-2008
1654,Memphis Grizzlies,1.2852,Javaris Crittenton, PG,2007-2008
1655,New York Knicks,1.28064,Renaldo Balkman, SF,2007-2008
1656,LA Clippers,1.27632,Alexis Ajinca, C,2007-2008
1657,New York Knicks,1.26816,Nate Robinson, PG,2007-2008
1658,Philadelphia 76ers,1.23384,Jason Smith, PF,2007-2008
1659,Boston Celtics,1.22928,Rajon Rondo, PG,2007-2008
1660,San Antonio Spurs,1.21959,Jacque Vaughn, PG,2007-2008
1661,Orlando Magic,1.21959,Adonal Foyle, C,2007-2008
1662,Portland Trail Blazers,1.2174,Jarrett Jack, G,2007-2008
1663,Detroit Pistons,1.2,Jarvis Hayes, SF,2007-2008
1664,Cleveland Cavaliers,1.2,Devin Brown, SG,2007-2008
1665,Miami Heat,1.1844,Daequan Cook, SG,2007-2008
1667,Sacramento Kings,1.1688,Francisco Garcia, SG,2007-2008
1668,Charlotte Bobcats,1.137,Jared Dudley, SF,2007-2008
1669,New Jersey Nets,1.13304,Josh Boone, C,2007-2008
1670,Philadelphia 76ers,1.13,Shavlik Randolph, PF,2007-2008
1671,Houston Rockets,1.122,Luther Head, PG,2007-2008
1672,Philadelphia 76ers,1.103225,Calvin Booth, C,2007-2008
1673,Utah Jazz,1.1,Ronnie Price, PG,2007-2008
1674,New York Knicks,1.09164,Wilson Chandler, SF,2007-2008
1675,Memphis Grizzlies,1.08768,Kyle Lowry, PG,2007-2008
1676,Madrid Real Madrid,1.08408,Rudy Fernandez, SG,2007-2008
1677,Brooklyn Nets,1.08,Bernard Robinson, SG,2007-2008
1678,Seattle SuperSonics,1.07712,Johan Petro, C,2007-2008
1679,Cleveland Cavaliers,1.04412,Shannon Brown, PG,2007-2008
1680,Detroit Pistons,1.04136,Jason Maxiell, PF,2007-2008
1681,Denver Nuggets,1.01136,Linas Kleiza, SF,2007-2008
1682,Los Angeles Lakers,1.00956,Jordan Farmar, PG,2007-2008
1683,Utah Jazz,1.00596,Morris Almond, SG,2007-2008
1684,San Antonio Spurs,1.0,Ime Udoka, SG,2007-2008
1685,Miami Heat,0.9978,Wayne Simien, PF,2007-2008
1686,New York Knicks,0.9906,David Lee, PF,2007-2008
1687,New Jersey Nets,0.9744,Maurice Ager, SF,2007-2008
1688,Miami Heat,0.973328,Earl Barron, C,2007-2008
1689,Houston Rockets,0.97272,Aaron Brooks, G,2007-2008
1690,New York Knicks,0.96732,Mardy Collins, PG,2007-2008
1691,Utah Jazz,0.94561,CJ Miles, SF,2007-2008
1692,Washington Wizards,0.94561,Donell Taylor, PG,2007-2008
1693,Detroit Pistons,0.94452,Arron Afflalo, G,2007-2008
1694,Phoenix Suns,0.93192,Alando Tucker, SF,2007-2008
1695,New Orleans Hornets,0.895341,Melvin Ely, C,2007-2008
1696,New Orleans Hornets,0.885294,Chris Andersen, PF,2007-2008
1697,Washington Wizards,0.862456,Mike Hall, F,2007-2008
1698,Sacramento Kings,0.862456,Justin Williams, PF,2007-2008
1699,Brooklyn Nets,0.85,Mile Ilic, C,2007-2008
1700,LA Clippers,0.826046,Quinton Ross, SF,2007-2008
1701,Portland Trail Blazers,0.817,Sergio Rodriguez, PG,2007-2008
1702,New York Knicks,0.81,Randolph Morris, C,2007-2008
1703,Seattle SuperSonics,0.802,Mickael Gelabale, SF,2007-2008
1704,LA Clippers,0.8,Josh Powell, PF,2007-2008
1705,Atlanta Hawks,0.783,Salim Stoudamire, SG,2007-2008
1706,Indiana Pacers,0.77061,Kareem Rush, SG,2007-2008
1707,LA Clippers,0.77061,Daniel Ewing, PG,2007-2008
1708,LA Clippers,0.77061,Ruben Patterson, PF,2007-2008
1709,Dallas Mavericks,0.77061,Brandon Bass, PF,2007-2008
1710,Charlotte Bobcats,0.77061,Derek Anderson, SG,2007-2008
1711,Charlotte Bobcats,0.77061,Jeff McInnis, PG,2007-2008
1712,Phoenix Suns,0.77061,Sean Marks, PF,2007-2008
1713,Memphis Grizzlies,0.77061,Casey Jacobsen, SG,2007-2008
1714,Phoenix Suns,0.77061,Brian Skinner, PF,2007-2008
1715,Portland Trail Blazers,0.77061,Von Wafer, SG,2007-2008
1716,Boston Celtics,0.77061,Scot Pollard, C,2007-2008
1717,Dallas Mavericks,0.761544,Juwan Howard, PF,2007-2008
1718,Utah Jazz,0.75,Kyrylo Fesenko, C,2007-2008
1719,Atlanta Hawks,0.729,Solomon Jones, PF,2007-2008
1720,Seattle SuperSonics,0.693549,Eddie Gill, PG,2007-2008
1721,Minnesota Timberwolves,0.687456,Craig Smith, PF,2007-2008
1722,Charlotte Bobcats,0.687456,Ryan Hollins, C,2007-2008
1723,Denver Nuggets,0.687456,Yakhouba Diawara, SG,2007-2008
1724,Boston Celtics,0.687456,Leon Powe, PF,2007-2008
1725,LA Clippers,0.687456,Paul Davis, C,2007-2008
1726,Los Angeles Lakers,0.687456,Devin Green, SG,2007-2008
1727,Golden State Warriors,0.687456,Kelenna Azubuike, SF,2007-2008
1728,Boston Celtics,0.65,Gabe Pruitt, PG,2007-2008
1729,Denver Nuggets,0.63462,Jelani McCoy, PF,2007-2008
1730,San Antonio Spurs,0.62584,Ian Mahinmi, C,2007-2008
1731,Sacramento Kings,0.584757,Dahntay Jones, SG,2007-2008
1732,LA Clippers,0.566625,Richie Frahm, SG,2007-2008
1733,Sacramento Kings,0.561544,Beno Udrih, PG,2007-2008
1734,Memphis Grizzlies,0.53809,Juan Carlos Navarro, PG,2007-2008
1735,Orlando Magic,0.427163,Marcin Gortat, C,2007-2008
1736,Boston Celtics,0.427163,Glen Davis, PF,2007-2008
1737,Chicago Bulls,0.427163,JamesOn Curry, PG,2007-2008
1738,Portland Trail Blazers,0.427163,Josh McRoberts, PF,2007-2008
1739,Los Angeles Lakers,0.427163,Coby Karl, PG,2007-2008
1740,Toronto Raptors,0.427163,Jamario Moon, SF,2007-2008
1741,Washington Wizards,0.427163,Dominic McGuire, PF,2007-2008
1742,Cleveland Cavaliers,0.427163,Demetris Nichols, SF,2007-2008
1743,Milwaukee Bucks,0.427163,Ramon Sessions, G,2007-2008
1744,null Unknown,0.427163,Larry Turner, NA,2007-2008
1745,null Unknown,0.427163,Elton Brown, NA,2007-2008
1746,Minnesota Timberwolves,0.427163,Chris Richard, PF,2007-2008
1747,Boston Celtics,0.427163,Brandon Wallace, NA,2007-2008
1748,Golden State Warriors,0.358107,Chris Webber, C,2007-2008
1749,Charlotte Bobcats,0.349041,Earl Boykins, PG,2007-2008
1750,Memphis Grizzlies,0.335442,Damon Stoudamire, PG,2007-2008
1751,Indiana Pacers,0.319116,Courtney Sims, C,2007-2008
1752,San Antonio Spurs,0.278912,Keith Langford, SG,2007-2008
1753,Golden State Warriors,0.251272,C.J. Watson, PG,2007-2008
1754,Memphis Grizzlies,0.238588,Jeremy Richardson, SG,2007-2008
1755,New Jersey Nets,0.231183,Jamaal Magloire, C,2007-2008
1756,Boston Celtics,0.22665,P.J. Brown, PF,2007-2008
1757,Indiana Pacers,0.213051,Ronald Murray, SG,2007-2008
1758,Utah Jazz,0.199452,Gordan Giricek, SG,2007-2008
1759,Minnesota Timberwolves,0.199452,Theo Ratliff, C,2007-2008
1760,Sacramento Kings,0.199452,Tyronn Lue, PG,2007-2008
1761,Miami Heat,0.18132,Smush Parker, PG,2007-2008
1762,San Antonio Spurs,0.172177,Brent Barry, SG,2007-2008
1763,Houston Rockets,0.142201,Loren Woods, C,2007-2008
1764,LA Clippers,0.125636,Nick Fazekas, PF,2007-2008
1765,Seattle SuperSonics,0.122391,Ira Newble, SF,2007-2008
1766,Houston Rockets,0.100509,Mike Harris, SF,2007-2008
1767,Los Angeles Lakers,0.09066,Didier Ilunga-Mbenga, C,2007-2008
1768,Cleveland Cavaliers,0.087945,Lance Allred, C,2007-2008
1769,Miami Heat,0.067844,Blake Ahearn, G,2007-2008
1770,Miami Heat,0.067844,Stephane Lasme, PF,2007-2008
1771,Seattle SuperSonics,0.063462,Ronald Dupree, SF,2007-2008
1773,Miami Heat,0.036395,Kasib Powell, SF,2007-2008
1774,San Antonio Spurs,0.027198,DerMarr Johnson, SF,2007-2008
1775,Memphis Grizzlies,0.024263,Bobby Jones, SF,2007-2008
1776,Toronto Raptors,0.004533,Linton Johnson, PF,2007-2008
1777,New Jersey Nets,0.004533,Billy Thomas, SG,2007-2008
1778,Boston Celtics,24.751934,Kevin Garnett, PF,2008-2009
1779,Boston Celtics,18.38843,Ray Allen, SG,2008-2009
1780,Dallas Mavericks,18.077904,Dirk Nowitzki, PF,2008-2009
1781,Boston Celtics,18.077903,Paul Pierce, SF,2008-2009
1782,Toronto Raptors,17.81,Shawn Marion, SG,2008-2009
1783,Orlando Magic,16.447871,Rashard Lewis, PF,2008-2009
1784,Milwaukee Bucks,15.78,Michael Redd, SG,2008-2009
1785,Los Angeles Lakers,15.106,Pau Gasol, C,2008-2009
1786,Utah Jazz,15.106,Andrei Kirilenko, SF,2008-2009
1787,Phoenix Suns,15.07055,Amar'e Stoudemire, C,2008-2009
1788,Houston Rockets,15.07055,Yao Ming, C,2008-2009
1789,Dallas Mavericks,21.372,Jason Kidd, PG,2008-2009
1790,Atlanta Hawks,14.983603,Mike Bibby, PG,2008-2009
1791,New Jersey Nets,14.724125,Vince Carter, SF,2008-2009
1792,New York Knicks,14.666667,Zach Randolph, PF,2008-2009
1793,Washington Wizards,14.653466,Gilbert Arenas, PG,2008-2009
1794,Cleveland Cavaliers,14.5,Ben Wallace, PF,2008-2009
1795,Denver Nuggets,14.431816,Kenyon Martin, PF,2008-2009
1796,Miami Heat,14.410581,Dwyane Wade, SG,2008-2009
1797,Toronto Raptors,14.410581,Chris Bosh, PF,2008-2009
1798,Cleveland Cavaliers,14.410581,LeBron James, SF,2008-2009
1799,Denver Nuggets,14.410581,Carmelo Anthony, PF,2008-2009
1800,Toronto Raptors,21.372,Jermaine O'Neal, C,2008-2009
1801,Atlanta Hawks,14.232567,Joe Johnson, G,2008-2009
1802,Los Angeles Lakers,14.148596,Lamar Odom, PF,2008-2009
1803,Detroit Pistons,13.93,Rasheed Wallace, PF,2008-2009
1804,Cleveland Cavaliers,13.775,Wally Szczerbiak, SG,2008-2009
1805,Orlando Magic,13.758,Dwight Howard, C,2008-2009
1806,Philadelphia 76ers,13.757844,Elton Brand, PF,2008-2009
1807,Milwaukee Bucks,13.2,Richard Jefferson, F,2008-2009
1808,New York Knicks,12.827676,Larry Hughes, SG,2008-2009
1809,Portland Trail Blazers,12.7225,Raef LaFrentz, C,2008-2009
1810,New Orleans Hornets,12.528,Peja Stojakovic, SF,2008-2009
1811,Los Angeles Lakers,21.2625,Kobe Bryant, SF,2008-2009
1812,Phoenix Suns,12.25,Steve Nash, PG,2008-2009
1813,Phoenix Suns,21.0,Shaquille O'Neal, C,2008-2009
1814,Detroit Pistons,20.840625,Allen Iverson, SG,2008-2009
1815,Boston Celtics,20.840625,Stephon Marbury, PG,2008-2009
1816,San Antonio Spurs,20.598704,Tim Duncan, C,2008-2009
1817,Houston Rockets,20.370437,Tracy McGrady, SG,2008-2009
1818,Charlotte Bobcats,12.222221,Jason Richardson, SG,2008-2009
1819,Utah Jazz,11.593817,Carlos Boozer, PF,2008-2009
1820,Dallas Mavericks,11.553,Erick Dampier, C,2008-2009
1821,San Antonio Spurs,11.55,Tony Parker, PG,2008-2009
1822,Sacramento Kings,11.375,Brad Miller, C,2008-2009
1823,New Orleans Hornets,11.35,Tyson Chandler, C,2008-2009
1824,Philadelphia 76ers,11.3,Andre Iguodala, SG,2008-2009
1825,LA Clippers,11.25,Baron Davis, PG,2008-2009
1826,Philadelphia 76ers,11.238564,Samuel Dalembert, C,2008-2009
1827,Detroit Pistons,11.05,Chauncey Billups, PG,2008-2009
1828,Minnesota Timberwolves,11.0,Al Jefferson, C,2008-2009
1829,Golden State Warriors,11.0,Monta Ellis, SG,2008-2009
1830,Cleveland Cavaliers,10.841615,Zydrunas Ilgauskas, C,2008-2009
1831,Detroit Pistons,10.8125,Richard Hamilton, SG,2008-2009
1832,New Jersey Nets,10.602667,Bobby Simmons, SF,2008-2009
1833,Philadelphia 76ers,10.333334,Andre Miller, PG,2008-2009
1834,Indiana Pacers,10.126984,Troy Murphy, PF,2008-2009
1835,LA Clippers,10.0,Marcus Camby, C,2008-2009
1836,Chicago Bulls,10.0,Kirk Hinrich, SG,2008-2009
1837,Dallas Mavericks,9.945,Josh Howard, SF,2008-2009
1838,Washington Wizards,9.923285,Antawn Jamison, PF,2008-2009
1839,San Antonio Spurs,9.905248,Manu Ginobili, G,2008-2009
1840,New Orleans Hornets,9.8625,David West, F,2008-2009
1841,New York Knicks,9.723983,Eddy Curry, C,2008-2009
1842,Denver Nuggets,9.68,Nene Hilario, C,2008-2009
1843,Charlotte Bobcats,9.5375,Emeka Okafor, C,2008-2009
1844,Charlotte Bobcats,9.5,Gerald Wallace, SF,2008-2009
1845,LA Clippers,9.5,Chris Kaman, C,2008-2009
1846,Detroit Pistons,9.5,Tayshaun Prince, SF,2008-2009
1847,Chicago Bulls,9.385,Luol Deng, SF,2008-2009
1848,Washington Wizards,9.24998,Caron Butler, SF,2008-2009
1849,New York Knicks,9.22625,Al Harrington, PF,2008-2009
1850,Dallas Mavericks,9.196,Jason Terry, G,2008-2009
1851,Minnesota Timberwolves,9.05246,Antoine Walker, PF,2008-2009
1852,Minnesota Timberwolves,9.028575,Mike Miller, SG,2008-2009
1853,Golden State Warriors,9.0,Andris Biedrins, C,2008-2009
1854,Charlotte Bobcats,9.0,Boris Diaw, C,2008-2009
1855,Indiana Pacers,9.0,Mike Dunleavy, SG,2008-2009
1856,LA Clippers,8.925,Cuttino Mobley, SG,2008-2009
1857,Sacramento Kings,8.760335,Kevin Martin, SG,2008-2009
1858,Indiana Pacers,6.8642,Marquis Daniels, SG,2008-2009
1859,Washington Wizards,6.8642,Etan Thomas, C,2008-2009
1860,Utah Jazz,6.75,Jamaal Tinsley, PG,2008-2009
1861,Oklahoma City Thunder,6.75,Chris Wilcox, PF,2008-2009
1862,Memphis Grizzlies,6.575,Marko Jaric, PG,2008-2009
1863,Miami Heat,6.575,Udonis Haslem, PF,2008-2009
1864,Milwaukee Bucks,6.5,Luke Ridnour, PG,2008-2009
1865,Sacramento Kings,6.487888,Bobby Jackson, PG,2008-2009
1866,Houston Rockets,6.4489,Shane Battier, SF,2008-2009
1867,Chicago Bulls,6.40475,Ben Gordon, SG,2008-2009
1868,Oklahoma City Thunder,6.35,Nick Collison, F,2008-2009
1869,Portland Trail Blazers,6.31015,Joel Przybilla, C,2008-2009
1870,Minnesota Timberwolves,6.3,Brian Cardinal, PF,2008-2009
1871,Milwaukee Bucks,6.294195,Andrew Bogut, C,2008-2009
1872,Milwaukee Bucks,6.250195,Dan Gadzuric, C,2008-2009
1873,Washington Wizards,6.244093,Mike James, PG,2008-2009
1874,Washington Wizards,6.2,Antonio Daniels, PG,2008-2009
1875,Oklahoma City Thunder,6.2,Earl Watson, PG,2008-2009
1876,Sacramento Kings,6.2,Shareef Abdur-Rahim, PF,2008-2009
1877,New York Knicks,6.2,Jerome James, C,2008-2009
1878,Phoenix Suns,6.1,Leandro Barbosa, G,2008-2009
1879,New York Knicks,8.6855,Quentin Richardson, SF,2008-2009
1880,New York Knicks,8.64,Jamal Crawford, SG,2008-2009
1881,Sacramento Kings,8.5625,Kenny Thomas, PF,2008-2009
1882,Miami Heat,8.513916,Mark Blount, C,2008-2009
1883,Utah Jazz,8.5,Mehmet Okur, C,2008-2009
1884,Indiana Pacers,8.4,Rasho Nesterovic, C,2008-2009
1885,Cleveland Cavaliers,8.353,Mo Williams, PG,2008-2009
1886,Golden State Warriors,8.275862,Corey Maggette, SF,2008-2009
1887,Sacramento Kings,8.0,Andres Nocioni, SF,2008-2009
1888,Indiana Pacers,8.0,T.J. Ford, PG,2008-2009
1889,New Jersey Nets,7.8,Devin Harris, PG,2008-2009
1890,Orlando Magic,7.7,Jameer Nelson, G,2008-2009
1891,Oklahoma City Thunder,7.6475,Malik Rose, PF,2008-2009
1892,Toronto Raptors,7.438018,Jose Calderon, PG,2008-2009
1893,Houston Rockets,7.4,Metta World Peace, SF,2008-2009
1894,Cleveland Cavaliers,7.3125,Eric Snow, PG,2008-2009
1895,Golden State Warriors,7.14,Stephen Jackson, SF,2008-2009
1896,Memphis Grizzlies,7.02,Darko Milicic, C,2008-2009
1897,Dallas Mavericks,7.0,Jerry Stackhouse, SF,2008-2009
1898,Sacramento Kings,6.077151,John Salmons, SF,2008-2009
1899,New York Knicks,6.0494,Jared Jeffries, PF,2008-2009
1900,Charlotte Bobcats,6.0494,Nazr Mohammed, C,2008-2009
1901,Charlotte Bobcats,6.0494,Vladimir Radmanovic, SF,2008-2009
1902,Utah Jazz,6.0,Matt Harpring, SF,2008-2009
1903,Toronto Raptors,5.78448,Jason Kapono, SG,2008-2009
1904,Cleveland Cavaliers,5.78448,Anderson Varejao, C,2008-2009
1905,Atlanta Hawks,5.757818,Speedy Claxton, PG,2008-2009
1906,Orlando Magic,5.746,Tony Battie, C,2008-2009
1907,Atlanta Hawks,5.636142,Marvin Williams, PF,2008-2009
1908,Sacramento Kings,5.6322,Mikki Moore, C,2008-2009
1909,New Orleans Hornets,5.59224,Morris Peterson, SG,2008-2009
1910,New York Knicks,5.585,Chris Duhon, PG,2008-2009
1911,Sacramento Kings,5.585,Beno Udrih, PG,2008-2009
1912,Charlotte Bobcats,5.585,DeSagana Diop, C,2008-2009
1913,Washington Wizards,5.5,Brendan Haywood, C,2008-2009
1914,Indiana Pacers,5.5,Jeff Foster, PF,2008-2009
1915,Orlando Magic,5.3,Mickael Pietrus, SF,2008-2009
1916,Oklahoma City Thunder,5.3,Desmond Mason, SF,2008-2009
1917,Toronto Raptors,5.17644,Andrea Bargnani, C,2008-2009
1918,Utah Jazz,5.069449,Deron Williams, PG,2008-2009
1919,Charlotte Bobcats,5.05,Matt Carroll, SG,2008-2009
1920,Portland Trail Blazers,5.01168,Greg Oden, C,2008-2009
1921,Charlotte Bobcats,5.0,Raja Bell, SG,2008-2009
1922,Denver Nuggets,4.985001,JR Smith, SG,2008-2009
1923,Utah Jazz,4.956818,Kyle Korver, SG,2008-2009
1924,Orlando Magic,4.9,Rafer Alston, PG,2008-2009
1925,Chicago Bulls,4.8228,Derrick Rose, PG,2008-2009
1926,Oklahoma City Thunder,4.778548,Nenad Krstic, C,2008-2009
1927,Los Angeles Lakers,4.7,Derek Fisher, PG,2008-2009
1928,Philadelphia 76ers,4.64,Reggie Evans, C,2008-2009
1929,Portland Trail Blazers,4.6314,LaMarcus Aldridge, PF,2008-2009
1930,Boston Celtics,4.57888,Kendrick Perkins, C,2008-2009
1931,New Orleans Hornets,4.574189,Chris Paul, PG,2008-2009
1932,Toronto Raptors,4.55,Anthony Parker, SG,2008-2009
1933,Los Angeles Lakers,4.524887,Sasha Vujacic, SG,2008-2009
1934,Cleveland Cavaliers,4.5,Sasha Pavlovic, SG,2008-2009
1935,Philadelphia 76ers,4.5,Lou Williams, SG,2008-2009
1936,Oklahoma City Thunder,4.48404,Kevin Durant, SF,2008-2009
1937,Milwaukee Bucks,4.460186,Damon Jones, PG,2008-2009
1938,Los Angeles Lakers,4.42,Luke Walton, SF,2008-2009
1939,New Jersey Nets,4.35,Trenton Hassell, SF,2008-2009
1940,Miami Heat,4.31496,Michael Beasley, SF,2008-2009
1941,Toronto Raptors,4.26,Marcus Banks, PG,2008-2009
1942,Portland Trail Blazers,4.25,Steve Blake, PG,2008-2009
1943,Washington Wizards,4.235,Darius Songaila, PF,2008-2009
1944,San Antonio Spurs,4.2,Kurt Thomas, PF,2008-2009
1945,Charlotte Bobcats,4.1592,Adam Morrison, SF,2008-2009
1946,Charlotte Bobcats,4.148715,Raymond Felton, PG,2008-2009
1947,Atlanta Hawks,4.02372,Al Horford, C,2008-2009
1948,Memphis Grizzlies,4.010005,Greg Buckner, SG,2008-2009
1949,Miami Heat,4.01,James Jones, SG,2008-2009
1950,Detroit Pistons,4.0,Kwame Brown, C,2008-2009
1951,San Antonio Spurs,4.0,Bruce Bowen, SF,2008-2009
1952,Atlanta Hawks,4.0,Zaza Pachulia, C,2008-2009
1953,Memphis Grizzlies,3.87504,O.J. Mayo, SG,2008-2009
1954,Memphis Grizzlies,3.8626,Steven Hunter, C,2008-2009
1955,Cleveland Cavaliers,3.85,Delonte West, SG,2008-2009
1956,Dallas Mavericks,3.792112,Keith Van Horn, PF,2008-2009
1957,Portland Trail Blazers,3.771133,Martell Webster, SF,2008-2009
1958,Chicago Bulls,3.74988,Tyrus Thomas, PF,2008-2009
1959,Utah Jazz,3.7,CJ Miles, SF,2008-2009
1960,Cleveland Cavaliers,3.7,Daniel Gibson, SG,2008-2009
1961,Detroit Pistons,3.666667,Amir Johnson, C,2008-2009
1962,Minnesota Timberwolves,3.65,Ryan Gomes, SF,2008-2009
1963,Memphis Grizzlies,3.63048,Mike Conley, PG,2008-2009
1964,New Orleans Hornets,3.63,Rasual Butler, SF,2008-2009
1965,Washington Wizards,3.616072,DeShawn Stevenson, SG,2008-2009
1966,San Antonio Spurs,3.6,Fabricio Oberto, C,2008-2009
1967,Oklahoma City Thunder,3.579131,Robert Swift, C,2008-2009
1968,San Antonio Spurs,3.5,Roger Mason Jr., SG,2008-2009
1969,Orlando Magic,3.5,Brian Cook, PF,2008-2009
1970,Oklahoma City Thunder,3.49368,Russell Westbrook, PG,2008-2009
