,season,Player,Pos,Age,team,PTS,AST,BLK,TOV,STL,ORB,DRB,MP,G,GS,PF,FTA,FGA,3PA,3P,FG,FT,PER,WS,ppg,ast_pg,blk_pg,tov_pg,stl_pg,reb_pg,min_pg,FG%,FT%,3P%
16380,2002-2003,Jalen Rose,SF,30.0,CHI,1816.0,395.0,23.0,285.0,72.0,68.0,283.0,3351.0,82.0,82.0,271.0,467.0,1583.0,359.0,133.0,642.0,399.0,14.9,3.6,22.146341463414632,4.817073170731708,0.2804878048780488,3.475609756097561,0.8780487804878049,4.280487804878049,40.86585365853659,0.40555906506632977,0.854389721627409,0.37047353760445684
16379,2002-2003,Sean Rooks,C,33.0,LAC,297.0,69.0,44.0,66.0,34.0,53.0,163.0,1344.0,70.0,38.0,174.0,58.0,297.0,1.0,0.0,125.0,47.0,7.7,0.4,4.242857142857143,0.9857142857142858,0.6285714285714286,0.9428571428571428,0.4857142857142857,3.085714285714286,19.2,0.4208754208754209,0.8103448275862069,0.0
16378,2002-2003,Rodney Rogers,PF,31.0,NJN,478.0,107.0,31.0,91.0,50.0,61.0,202.0,1303.0,68.0,0.0,192.0,90.0,455.0,132.0,44.0,183.0,68.0,11.7,2.3,7.029411764705882,1.5735294117647058,0.45588235294117646,1.338235294117647,0.7352941176470589,3.8676470588235294,19.16176470588235,0.4021978021978022,0.7555555555555555,0.3333333333333333
16377,2002-2003,Glenn Robinson,SF,30.0,ATL,1436.0,205.0,26.0,248.0,91.0,86.0,371.0,2591.0,69.0,68.0,183.0,306.0,1248.0,263.0,90.0,539.0,268.0,16.7,2.9,20.81159420289855,2.971014492753623,0.37681159420289856,3.5942028985507246,1.318840579710145,6.6231884057971016,37.55072463768116,0.43189102564102566,0.8758169934640523,0.34220532319391633
16376,2002-2003,Eddie Robinson,SF,26.0,CHI,364.0,66.0,13.0,52.0,62.0,76.0,124.0,1355.0,64.0,18.0,120.0,63.0,315.0,14.0,3.0,155.0,51.0,11.5,2.2,5.6875,1.03125,0.203125,0.8125,0.96875,3.125,21.171875,0.49206349206349204,0.8095238095238095,0.21428571428571427
16375,2002-2003,David Robinson,C,37.0,SAS,546.0,61.0,111.0,83.0,52.0,163.0,345.0,1676.0,64.0,64.0,126.0,214.0,420.0,0.0,0.0,197.0,152.0,17.8,6.0,8.53125,0.953125,1.734375,1.296875,0.8125,7.9375,26.1875,0.46904761904761905,0.7102803738317757,
16374,2002-2003,Clifford Robinson,PF,36.0,DET,992.0,268.0,88.0,158.0,87.0,81.0,237.0,2825.0,81.0,69.0,259.0,238.0,935.0,259.0,87.0,372.0,161.0,12.4,4.4,12.246913580246913,3.308641975308642,1.0864197530864197,1.9506172839506173,1.0740740740740742,3.925925925925926,34.876543209876544,0.39786096256684494,0.6764705882352942,0.3359073359073359
16373,2002-2003,Antoine Rigaudeau,SG,31.0,DAL,17.0,6.0,0.0,6.0,3.0,4.0,4.0,91.0,11.0,0.0,11.0,0.0,35.0,5.0,1.0,8.0,0.0,-2.4,-0.4,1.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,0.2727272727272727,0.7272727272727273,8.272727272727273,0.22857142857142856,,0.2
16372,2002-2003,Quentin Richardson,SG,22.0,LAC,552.0,52.0,10.0,64.0,35.0,98.0,183.0,1368.0,59.0,13.0,92.0,124.0,546.0,198.0,61.0,203.0,85.0,12.5,1.0,9.35593220338983,0.8813559322033898,0.1694915254237288,1.0847457627118644,0.5932203389830508,4.762711864406779,23.1864406779661,0.3717948717948718,0.6854838709677419,0.30808080808080807
16371,2002-2003,Jason Richardson,SG,22.0,GSW,1282.0,247.0,23.0,179.0,90.0,111.0,267.0,2698.0,82.0,82.0,201.0,271.0,1161.0,334.0,123.0,476.0,207.0,14.8,3.7,15.634146341463415,3.0121951219512195,0.2804878048780488,2.182926829268293,1.0975609756097562,4.609756097560975,32.90243902439025,0.4099913867355728,0.7638376383763837,0.36826347305389223
16370,2002-2003,Glen Rice,SF,35.0,HOU,556.0,65.0,5.0,55.0,23.0,28.0,126.0,1532.0,62.0,26.0,99.0,83.0,457.0,254.0,101.0,196.0,63.0,11.9,3.3,8.96774193548387,1.0483870967741935,0.08064516129032258,0.8870967741935484,0.3709677419354839,2.4838709677419355,24.70967741935484,0.4288840262582057,0.7590361445783133,0.39763779527559057
16369,2002-2003,Efthimi Rentzias,C,27.0,PHI,52.0,7.0,2.0,4.0,6.0,10.0,16.0,144.0,35.0,0.0,21.0,9.0,59.0,8.0,4.0,20.0,8.0,10.6,0.2,1.4857142857142858,0.2,0.05714285714285714,0.11428571428571428,0.17142857142857143,0.7428571428571429,4.114285714285714,0.3389830508474576,0.8888888888888888,0.5
16336,2002-2003,Olumide Oyedeji,C,21.0,ORL,27.0,5.0,3.0,5.0,5.0,10.0,40.0,145.0,27.0,3.0,30.0,11.0,23.0,0.0,0.0,10.0,7.0,9.4,0.3,1.0,0.18518518518518517,0.1111111111111111,0.18518518518518517,0.18518518518518517,1.8518518518518519,5.37037037037037,0.43478260869565216,0.6363636363636364,
16335,2002-2003,Chris Owens,SF,23.0,MEM,4.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,20.1,0.0,4.0,0.0,0.0,1.0,0.0,1.0,6.0,0.6666666666666666,,
16334,2002-2003,Bo Outlaw,C,31.0,PHO,378.0,112.0,71.0,76.0,50.0,134.0,234.0,1800.0,80.0,20.0,194.0,116.0,278.0,2.0,0.0,153.0,72.0,12.2,4.4,4.725,1.4,0.8875,0.95,0.625,4.6,22.5,0.5503597122302158,0.6206896551724138,0.0
16333,2002-2003,Greg Ostertag,C,29.0,UTA,438.0,55.0,147.0,104.0,20.0,180.0,323.0,1926.0,81.0,74.0,235.0,196.0,326.0,0.0,0.0,169.0,100.0,11.5,3.4,5.407407407407407,0.6790123456790124,1.8148148148148149,1.2839506172839505,0.24691358024691357,6.209876543209877,23.77777777777778,0.5184049079754601,0.5102040816326531,
16293,2002-2003,Andre Miller,PG,26.0,LAC,1088.0,537.0,11.0,206.0,99.0,84.0,232.0,2913.0,80.0,80.0,203.0,391.0,928.0,108.0,23.0,377.0,311.0,15.2,4.6,13.6,6.7125,0.1375,2.575,1.2375,3.95,36.4125,0.40625,0.7953964194373402,0.21296296296296297
16292,2002-2003,Darius Miles,SF,21.0,CLE,618.0,176.0,69.0,178.0,67.0,113.0,250.0,2008.0,67.0,62.0,159.0,155.0,642.0,14.0,0.0,263.0,92.0,9.7,-1.3,9.223880597014926,2.626865671641791,1.0298507462686568,2.656716417910448,1.0,5.417910447761194,29.970149253731343,0.40965732087227413,0.5935483870967742,0.0
